Question ID,Category,Personality System,Trait / Dimension,Option A,Option B,One-Line Question,Option A Score Code,Option B Score Code,Scoring Logic,Weight,Reverse Scored?,AI Interpretation Tag
NORM-021,Core Personality,MBTI,Judging vs Perceiving,have your week perfectly scheduled,completely improvise every day,Would You Rather… have your week perfectly scheduled OR completely improvise every day?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-022,Core Personality,MBTI,Judging vs Perceiving,arrive 30 minutes early,barely make it on time,Would You Rather… arrive 30 minutes early OR barely make it on time?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-023,Core Personality,MBTI,Judging vs Perceiving,follow a detailed plan,adapt spontaneously as things happen,Would You Rather… follow a detailed plan OR adapt spontaneously as things happen?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-024,Core Personality,MBTI,Judging vs Perceiving,organize every detail,leave room for surprises,Would You Rather… organize every detail OR leave room for surprises?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-025,Core Personality,MBTI,Judging vs Perceiving,know exactly what happens tomorrow,keep life unpredictable,Would You Rather… know exactly what happens tomorrow OR keep life unpredictable?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-026,Core Personality,MBTI,Judging vs Perceiving,live by routines,follow inspiration in the moment,Would You Rather… live by routines OR follow inspiration in the moment?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-027,Core Personality,MBTI,Judging vs Perceiving,finish projects before relaxing,explore possibilities before deciding,Would You Rather… finish projects before relaxing OR explore possibilities before deciding?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-028,Core Personality,MBTI,Judging vs Perceiving,make firm decisions quickly,keep options open as long as possible,Would You Rather… make firm decisions quickly OR keep options open as long as possible?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-029,Core Personality,MBTI,Judging vs Perceiving,plan your vacation hour by hour,wander with no itinerary,Would You Rather… plan your vacation hour by hour OR wander with no itinerary?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-030,Core Personality,MBTI,Judging vs Perceiving,maintain a tidy workspace,work in creative chaos,Would You Rather… maintain a tidy workspace OR work in creative chaos?,J,P,"Option A +1 to J; Option B +1 to P. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests J vs P tendencies within MBTI.
NORM-031,Core Personality,MBTI,Intuition vs Sensing,brainstorm future possibilities,focus on practical realities right now,Would You Rather… brainstorm future possibilities OR focus on practical realities right now?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-032,Core Personality,MBTI,Intuition vs Sensing,explore abstract theories,master hands-on skills,Would You Rather… explore abstract theories OR master hands-on skills?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-033,Core Personality,MBTI,Intuition vs Sensing,discuss philosophy and the future,talk about real-life experiences,Would You Rather… discuss philosophy and the future OR talk about real-life experiences?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-034,Core Personality,MBTI,Intuition vs Sensing,predict future trends,focus on what is already proven,Would You Rather… predict future trends OR focus on what is already proven?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-035,Core Personality,MBTI,Intuition vs Sensing,invent something futuristic,improve something that already exists,Would You Rather… invent something futuristic OR improve something that already exists?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-036,Core Personality,MBTI,Intuition vs Sensing,talk about innovation and ideas,use practical step-by-step solutions,Would You Rather… talk about innovation and ideas OR use practical step-by-step solutions?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-037,Core Personality,MBTI,Intuition vs Sensing,imagine what humanity could become,solve today’s problems,Would You Rather… imagine what humanity could become OR solve today’s problems?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-038,Core Personality,MBTI,Intuition vs Sensing,follow symbolic meaning,trust concrete facts,Would You Rather… follow symbolic meaning OR trust concrete facts?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-039,Core Personality,MBTI,Intuition vs Sensing,design a future vision board,create a practical action checklist,Would You Rather… design a future vision board OR create a practical action checklist?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-040,Core Personality,MBTI,Intuition vs Sensing,dream up new possibilities,perfect a proven method,Would You Rather… dream up new possibilities OR perfect a proven method?,N,S,"Option A +1 to N; Option B +1 to S. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests N vs S tendencies within MBTI.
NORM-041,Core Personality,Big Five,Openness,try a strange new food,order your favorite meal again,Would You Rather… try a strange new food OR order your favorite meal again?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-042,Core Personality,Big Five,Openness,move to a new country for adventure,stay close to what feels familiar,Would You Rather… move to a new country for adventure OR stay close to what feels familiar?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-043,Core Personality,Big Five,Openness,learn an experimental art form,improve a practical everyday skill,Would You Rather… learn an experimental art form OR improve a practical everyday skill?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-044,Core Personality,Big Five,Openness,read a weird philosophical book,read a clear how-to manual,Would You Rather… read a weird philosophical book OR read a clear how-to manual?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-045,Core Personality,Big Five,Openness,explore a completely new career,build expertise in one proven field,Would You Rather… explore a completely new career OR build expertise in one proven field?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-046,Core Personality,Big Five,Openness,decorate your home with bold creativity,keep your home simple and classic,Would You Rather… decorate your home with bold creativity OR keep your home simple and classic?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-047,Core Personality,Big Five,Openness,attend an avant-garde performance,watch a familiar favorite movie,Would You Rather… attend an avant-garde performance OR watch a familiar favorite movie?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-048,Core Personality,Big Five,Openness,change your worldview after new evidence,stick with long-held beliefs,Would You Rather… change your worldview after new evidence OR stick with long-held beliefs?,High Openness,Low Openness,"Option A +1 to High Openness; Option B +1 to Low Openness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Openness vs Low Openness tendencies within Big Five.
NORM-049,Core Personality,Big Five,Conscientiousness,complete every task before relaxing,relax first and finish later,Would You Rather… complete every task before relaxing OR relax first and finish later?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-050,Core Personality,Big Five,Conscientiousness,track your habits daily,go with the flow,Would You Rather… track your habits daily OR go with the flow?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-051,Core Personality,Big Five,Conscientiousness,save money consistently,spend freely on experiences,Would You Rather… save money consistently OR spend freely on experiences?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-052,Core Personality,Big Five,Conscientiousness,keep a detailed to-do list,trust yourself to remember things,Would You Rather… keep a detailed to-do list OR trust yourself to remember things?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-053,Core Personality,Big Five,Conscientiousness,train for months before competing,jump in and learn as you go,Would You Rather… train for months before competing OR jump in and learn as you go?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-054,Core Personality,Big Five,Conscientiousness,keep your room organized,let your space reflect creative chaos,Would You Rather… keep your room organized OR let your space reflect creative chaos?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-055,Core Personality,Big Five,Conscientiousness,follow through on a promise no matter what,change plans when life shifts,Would You Rather… follow through on a promise no matter what OR change plans when life shifts?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-056,Core Personality,Big Five,Conscientiousness,prepare thoroughly for a meeting,show up and improvise confidently,Would You Rather… prepare thoroughly for a meeting OR show up and improvise confidently?,High Conscientiousness,Low Conscientiousness,"Option A +1 to High Conscientiousness; Option B +1 to Low Conscientiousness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Conscientiousness vs Low Conscientiousness tendencies within Big Five.
NORM-057,Core Personality,Big Five,Extraversion,lead a room full of strangers,observe quietly from the back,Would You Rather… lead a room full of strangers OR observe quietly from the back?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-058,Core Personality,Big Five,Extraversion,build a huge social circle,keep a small trusted circle,Would You Rather… build a huge social circle OR keep a small trusted circle?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-059,Core Personality,Big Five,Extraversion,talk to someone new every day,enjoy long stretches of solitude,Would You Rather… talk to someone new every day OR enjoy long stretches of solitude?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-060,Core Personality,Big Five,Extraversion,host a live event,create content privately,Would You Rather… host a live event OR create content privately?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-061,Core Personality,Big Five,Extraversion,gain energy from crowds,gain energy from silence,Would You Rather… gain energy from crowds OR gain energy from silence?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-062,Core Personality,Big Five,Extraversion,be known by everyone in town,be known deeply by a few people,Would You Rather… be known by everyone in town OR be known deeply by a few people?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-063,Core Personality,Big Five,Extraversion,speak first in a group,listen first and speak later,Would You Rather… speak first in a group OR listen first and speak later?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-064,Core Personality,Big Five,Extraversion,celebrate publicly,celebrate privately,Would You Rather… celebrate publicly OR celebrate privately?,High Extraversion,Low Extraversion,"Option A +1 to High Extraversion; Option B +1 to Low Extraversion. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Extraversion vs Low Extraversion tendencies within Big Five.
NORM-065,Core Personality,Big Five,Agreeableness,forgive quickly,hold firm boundaries,Would You Rather… forgive quickly OR hold firm boundaries?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-066,Core Personality,Big Five,Agreeableness,avoid conflict to keep peace,challenge people directly,Would You Rather… avoid conflict to keep peace OR challenge people directly?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-067,Core Personality,Big Five,Agreeableness,give someone the benefit of the doubt,question their motives first,Would You Rather… give someone the benefit of the doubt OR question their motives first?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-068,Core Personality,Big Five,Agreeableness,cooperate even when it slows you down,push hard for the best outcome,Would You Rather… cooperate even when it slows you down OR push hard for the best outcome?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-069,Core Personality,Big Five,Agreeableness,be liked by everyone,be respected even if disliked,Would You Rather… be liked by everyone OR be respected even if disliked?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-070,Core Personality,Big Five,Agreeableness,prioritize team harmony,prioritize winning results,Would You Rather… prioritize team harmony OR prioritize winning results?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-071,Core Personality,Big Five,Agreeableness,help a friend at personal cost,protect your own time first,Would You Rather… help a friend at personal cost OR protect your own time first?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-072,Core Personality,Big Five,Agreeableness,soften your message,say exactly what you mean,Would You Rather… soften your message OR say exactly what you mean?,High Agreeableness,Low Agreeableness,"Option A +1 to High Agreeableness; Option B +1 to Low Agreeableness. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Agreeableness vs Low Agreeableness tendencies within Big Five.
NORM-073,Core Personality,Big Five,Neuroticism / Emotional Stability,prepare for every possible problem,trust things will work out,Would You Rather… prepare for every possible problem OR trust things will work out?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-074,Core Personality,Big Five,Neuroticism / Emotional Stability,feel emotions intensely,stay emotionally steady,Would You Rather… feel emotions intensely OR stay emotionally steady?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-075,Core Personality,Big Five,Neuroticism / Emotional Stability,double-check everything for safety,move forward with confidence,Would You Rather… double-check everything for safety OR move forward with confidence?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-076,Core Personality,Big Five,Neuroticism / Emotional Stability,talk through your worries,quietly let worries pass,Would You Rather… talk through your worries OR quietly let worries pass?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-077,Core Personality,Big Five,Neuroticism / Emotional Stability,avoid uncertainty,embrace uncertainty calmly,Would You Rather… avoid uncertainty OR embrace uncertainty calmly?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-078,Core Personality,Big Five,Neuroticism / Emotional Stability,respond quickly when stressed,pause before reacting,Would You Rather… respond quickly when stressed OR pause before reacting?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-079,Core Personality,Big Five,Neuroticism / Emotional Stability,seek reassurance often,trust your own resilience,Would You Rather… seek reassurance often OR trust your own resilience?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-080,Core Personality,Big Five,Neuroticism / Emotional Stability,notice risks first,notice opportunities first,Would You Rather… notice risks first OR notice opportunities first?,High Emotional Reactivity,Calm Stability,"Option A +1 to High Emotional Reactivity; Option B +1 to Calm Stability. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests High Emotional Reactivity vs Calm Stability tendencies within Big Five.
NORM-081,Motivation,Enneagram,Type 1 Reforming vs Type 7 Enthusiasm,perfect one important project,experience ten exciting adventures,Would You Rather… perfect one important project OR experience ten exciting adventures?,Type 1,Type 7,"Option A +1 to Type 1; Option B +1 to Type 7. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests Type 1 vs Type 7 tendencies within Enneagram.
NORM-082,Motivation,Enneagram,Type 1 Reforming vs Type 7 Enthusiasm,fix what is broken in the system,escape into new possibilities,Would You Rather… fix what is broken in the system OR escape into new possibilities?,Type 1,Type 7,"Option A +1 to Type 1; Option B +1 to Type 7. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests Type 1 vs Type 7 tendencies within Enneagram.
NORM-083,Motivation,Enneagram,Type 1 Reforming vs Type 7 Enthusiasm,be morally correct,be wildly free,Would You Rather… be morally correct OR be wildly free?,Type 1,Type 7,"Option A +1 to Type 1; Option B +1 to Type 7. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests Type 1 vs Type 7 tendencies within Enneagram.
NORM-084,Motivation,Enneagram,Type 1 Reforming vs Type 7 Enthusiasm,choose discipline,choose joy and spontaneity,Would You Rather… choose discipline OR choose joy and spontaneity?,Type 1,Type 7,"Option A +1 to Type 1; Option B +1 to Type 7. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests Type 1 vs Type 7 tendencies within Enneagram.
NORM-085,Motivation,Enneagram,Type 1 Reforming vs Type 7 Enthusiasm,improve yourself every day,enjoy yourself every day,Would You Rather… improve yourself every day OR enjoy yourself every day?,Type 1,Type 7,"Option A +1 to Type 1; Option B +1 to Type 7. Track patterns over repeated choices, not one answer.",1,No,Behavior pattern suggests Type 1 vs Type 7 tendencies within Enneagram.
